time=5000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=00 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=15000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=00 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0

TEST1: Coke with exact money
time=25000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=00 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=35000 | coin_10=1 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=00 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=45000 | coin_10=0 | coin_5=0 | cancel=0 | state=01 | bal=10 | ch=0 | sel=00 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=55000 | coin_10=0 | coin_5=1 | cancel=0 | state=01 | bal=10 | ch=0 | sel=00 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=65000 | coin_10=0 | coin_5=0 | cancel=0 | state=01 | bal=15 | ch=0 | sel=00 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=75000 | coin_10=0 | coin_5=0 | cancel=0 | state=01 | bal=15 | ch=0 | sel=00 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=85000 | coin_10=0 | coin_5=0 | cancel=0 | state=01 | bal=15 | ch=0 | sel=00 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=95000 | coin_10=0 | coin_5=0 | cancel=0 | state=10 | bal=15 | ch=0 | sel=00 | coke=1 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=105000 | coin_10=0 | coin_5=0 | cancel=0 | state=11 | bal=0 | ch=0 | sel=00 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=115000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=00 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=125000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=00 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=135000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=00 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
